index,label,centrality,true_c,true_d,true_a,inf_c,inf_d,inf_a,inference_error,corner_correct,capstone_winrate,baseline_winrate,oracle_winrate,capstone_score,baseline_score,oracle_score
1,A,0.000000,0.000000,0.000000,1.000000,0.373183,0.005449,0.621368,0.531656,1,0.833333,0.833333,0.833333,0.666667,0.666667,0.171080
2,C,0.000000,1.000000,0.000000,0.000000,0.609421,0.374849,0.015730,0.541583,1,0.833333,0.833333,0.833333,0.430490,0.268672,0.095597
3,D,0.000000,0.000000,1.000000,0.000000,0.424174,0.479998,0.095828,0.677871,1,0.666667,0.666667,0.666667,0.083995,0.083995,0.083995
4,C2A5,0.433013,0.250000,0.000000,0.750000,0.362533,0.010180,0.627287,0.166810,1,0.666667,0.833333,0.500000,0.333333,0.666667,0.000000
5,C5D2,0.433013,0.750000,0.250000,0.000000,0.601535,0.396315,0.002149,0.208458,1,0.833333,0.000000,0.666667,0.709299,-0.284447,0.547293
6,D5A2,0.433013,0.000000,0.750000,0.250000,0.474559,0.131760,0.393681,0.792510,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.450668
7,C2A4,0.577350,0.333333,0.000000,0.666667,0.343956,0.010180,0.645864,0.025480,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
8,C4D2,0.577350,0.666667,0.333333,0.000000,0.593669,0.403854,0.002477,0.101528,1,0.333333,0.000000,0.500000,-0.101061,-0.388963,0.074151
9,D4A2,0.577350,0.000000,0.666667,0.333333,0.456937,0.130639,0.412424,0.708783,0,1.000000,0.666667,1.000000,1.000000,0.333333,0.479979
10,C2D2A3,0.750000,0.250000,0.250000,0.500000,0.446251,0.056971,0.496779,0.275291,1,0.500000,0.333333,0.166667,0.000000,-0.333333,-0.666667
11,C2D3A2,0.750000,0.250000,0.500000,0.250000,0.506457,0.140484,0.353059,0.453479,0,0.833333,1.000000,1.000000,0.666667,1.000000,1.000000
12,C3D2A2,0.750000,0.500000,0.250000,0.250000,0.549071,0.118173,0.332756,0.163202,1,0.833333,0.833333,0.833333,0.666667,0.666667,0.666667
13,C3A3,0.866025,0.500000,0.000000,0.500000,0.343398,0.000000,0.656602,0.221468,0,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333
14,C3D3,0.866025,0.500000,0.500000,0.000000,0.556658,0.409697,0.033645,0.111789,1,0.500000,0.000000,0.500000,0.167422,-0.285008,0.211026
15,D3A3,0.866025,0.000000,0.500000,0.500000,0.481443,0.089171,0.429386,0.636831,0,0.833333,0.833333,0.833333,0.666667,0.666667,0.200590
16,bal,1.000000,0.333333,0.333333,0.333333,0.407667,0.070460,0.521872,0.331926,0,0.833333,1.000000,1.000000,0.666667,1.000000,1.000000
