r,k,l,attack_beats_colonize,colonize_beats_defend,defend_beats_attack,min_margin,cycle_holds
0.4000,1.0000,0.0000,1.000000,0.250292,-1.000000,-1.000000,0
0.4000,1.0000,0.0500,1.000000,0.249991,-1.000000,-1.000000,0
0.4000,1.0000,0.1000,1.000000,0.249914,-1.000000,-1.000000,0
0.4000,1.0000,0.1500,1.000000,0.249880,-1.000000,-1.000000,0
0.4000,1.0000,0.2000,1.000000,0.249856,-0.745224,-0.745224,0
0.4000,1.0000,0.2500,1.000000,0.249837,-0.952783,-0.952783,0
0.4000,1.0000,0.3000,1.000000,0.249822,-1.000000,-1.000000,0
0.4000,1.0000,0.3500,1.000000,0.249809,-0.526866,-0.526866,0
0.4000,1.0000,0.4000,1.000000,0.249798,-0.362874,-0.362874,0
0.4000,1.0000,0.4500,1.000000,0.249788,-0.300935,-0.300935,0
0.4000,1.2500,0.0000,1.000000,0.249910,-1.000000,-1.000000,0
0.4000,1.2500,0.0500,1.000000,0.249880,-1.000000,-1.000000,0
0.4000,1.2500,0.1000,1.000000,0.249859,-0.952725,-0.952725,0
0.4000,1.2500,0.1500,1.000000,0.249841,-0.809556,-0.809556,0
0.4000,1.2500,0.2000,1.000000,0.249827,-0.916518,-0.916518,0
0.4000,1.2500,0.2500,1.000000,0.249814,-0.750795,-0.750795,0
0.4000,1.2500,0.3000,1.000000,0.249804,-0.384126,-0.384126,0
0.4000,1.2500,0.3500,1.000000,0.249794,-0.025580,-0.025580,0
0.4000,1.2500,0.4000,1.000000,0.249786,-0.210596,-0.210596,0
0.4000,1.2500,0.4500,1.000000,0.249779,-0.212014,-0.212014,0
0.4000,1.5000,0.0000,1.000000,0.249864,-1.000000,-1.000000,0
0.4000,1.5000,0.0500,1.000000,0.249847,-1.000000,-1.000000,0
0.4000,1.5000,0.1000,1.000000,0.249833,-0.809259,-0.809259,0
0.4000,1.5000,0.1500,1.000000,0.249821,-0.809091,-0.809091,0
0.4000,1.5000,0.2000,1.000000,0.249810,-0.747561,-0.747561,0
0.4000,1.5000,0.2500,1.000000,0.249801,-0.193662,-0.193662,0
